Facility_name,Person_running_it,Job_title,Phone,Url,Facility_type,Number_of_bads
Isaac Ibatuan,Isaac Ibatuan,,,,Assisted Living Facility,
Westhaven Villa,Angie Silvan,Administrator,360-538-9983,http://www.caringplaces.com,Assisted Living Facility, 54
Haven in Allyn,Debra Jamerson,Administrator,360-277-0636,http://www.haveninallyn.com,Assisted Living Facility, 16
Grays Harbor Health & Rehab,Jane Stilwell,Administrator,360-532-5122,http://www.avalonhci.com,Skilled Nursing Facility, 105
Chandler’s Square Retirement,Melissa Howlett,Executive Director,360-293-1300,http://www.chandlersquare.com,Assisted Living Facility, 37
Lighthouse Memory Care,Jessica Trumble,Executive Director,360-399-7263,http://www.lighthousememorycare.net,Assisted Living Facility, 39
Cypress Assisted Living,Chris Alspaugh,Executive Director,360-293-7222,http://www.hyattff.com,Assisted Living Facility, 48
Rosario Assisted Living,Audrey Liggins,Executive Director,360-293-5752,http://www.rosarioaassistedliving.com,Assisted Living Facility, 94
Soundview Rehabilitation and Health Care,Jessica Lukadi,Administrator,360-293-3174,,Skilled Nursing Facility, 44
Arlington Health and Rehabilitation,Jenny Mack,Administrator,360-403-8247,,Skilled Nursing Facility, 76
Cascade Valley Senior Living,Heidi Hutton,Executive Director,360-435-3222,http://www.cascadevalley.net,Assisted Living Facility, 80
Olympic Place Retirement,Nancy Tisdel,Executive Director,360-435-8440,http://www.bonaventuresenior.com,Assisted Living Facility, 81
Auburn Post Acute,,,253-833-1740,http://www.empres.com,Skilled Nursing Facility, 96
Brannan Park Assisted Living/Memory Care,Sherlyn Bessette,Executive Director,253-736-2800,http://www.villageconcepts.com,Assisted Living Facility, 90
Canterbury House,Bob Wright,Administrator,253-939-0090,http://www.canterburyhouseauburn.com,Skilled Nursing Facility, 100
Merrill Gardens at Auburn,Natasha Hottell,General Manager,253-336-4858,,Assisted Living Facility, 65
Prestige Senior Living Rosemont,Robina Gaines,Executive Director,360-458-1800,http://www.prestigecare.com,Assisted Living Facility, 70
Willow Springs Care and Rehabilitation,,,509-966-4500,http://www.hyattfamilyfacilities.com,Skilled Nursing Facility, 75
Easthaven Villa,Mireya McNealley,Assistant Administrator,360-458-2800,http://www.caringplaces.com,Assisted Living Facility, 93
Ponderosa Assisted Living Community,Manny Deloza,Executive Director,509-453-1366,http://www.ponderosaretirement.com,Assisted Living Facility, 85
Highgate Senior Living – Yakima,Caela Bianchi,Executive Director,509-972-4141,http://www.highgateseniorliving.com,Assisted Living Facility, 64
Landmark Care and Rehabilitation,Abiel Paz,AIT,509-248-4102,http://www.hyattfamilyfacilities.com,Skilled Nursing Facility, 93
Good Samaritan Health Care Center,Joany Schimmelfennig,Administrator,509-248-5320,http://www.regencygoodsamaritan.com,Skilled Nursing Facility, 105
Fieldstone OrchardWest,Carleen Belton,Executive Director,509-571-1640,http://www.fieldstoneorchardwest.com,Assisted Living Facility, 92
Fieldstone Memory Care Yakima,Amanda Eglin,Executive Director/DNS,509-965-5282,http://www.fieldstonememorycare.com,Assisted Living Facility, 58
Crescent Health Care SNF,Stephanie Woodcock,Administrator,509-248-4446,http://www.crescentnursingrehab.com,Skilled Nursing Facility, 85
Chandler House,Lynette Denison,Director,509-248-1007,,Assisted Living Facility, 36
Cascades of Chesterley,Virginia Villemez,Executive Director,509-452-1010,http://www.elmcroft.com,Assisted Living Facility, 96
Brookdale Yakima,Jannluy Trevino,Executive Director,509-965-0111,http://www.brookdale.com,Assisted Living Facility, 82
Avamere at Englewood Heights Memory Care,,,509-452-5822,,Assisted Living Facility, 20
Avamere at Englewood Heights,,,509-452-5822,http://www.avamere.com,Assisted Living Facility, 88
Woodland Care Center & Assisted Living,Justin Settlemeier,Administrator,360-225-9443,http://www.woodlandcarecenter.com,Assisted Living Facility, 32
Woodland Care Center,Justin Settlemeier,Administrator,360-225-9443,http://www.WoodlandCareCenter.com,Skilled Nursing Facility, 62
Vista Manor,Andrea Michel,Executive Director/DNS,509-464-9486,,Assisted Living Facility, 16
Fairwinds Brittany Park,Kate Harrison,Executive Director,425-402-7100,http://www.leisurecare.com,Assisted Living Facility, 45
Riverwest Retirement Community,Jennifer Vance,Executive Director,509-662-2797,http://www.riverwestretirement.org,Assisted Living Facility, 56
Regency Wenatchee,Josh Loveless,Administrator,509-682-2551,http://www.regencypacific.com,Skilled Nursing Facility, 55
Prestige Senior Living at Colonial Vista,Mary Eisele,Administrator,509-663-3337,http://www.prestigecare.com,Assisted Living Facility, 55
Highgate Senior Living – Wenatchee,Jean Lehman,Executive Director,509-665-6695,http://www.highgateseniorliving.com,Assisted Living Facility, 75
Colonial Vista Post Acute & Rehabilitation Center,Andrea Roberts,Administrator,509-663-1171,http://www.prestigecare.com,Skilled Nursing Facility, 100
Ciel Senior Living of Wenatchee,Maggie Mikesell,Executive Director,509-884-3178,,Assisted Living Facility, 60
Christopher House,Karina Valencia,Executive Director,509-888-0773,,Assisted Living Facility, 77
Blossom Valley Assisted Living,Tricia Sapp,Executive Director,509-667-0990,http://www.seniorlifestyle.com,Assisted Living Facility, 80
Blossom Creek Memory Care,Tricia Sapp,Executive Director,509-662-3500,http://www.seniorlifestyle.com,Assisted Living Facility, 50
Avamere at Wenatchee,Aaron Lindholm,Executive Director,509-662-8646,http://www.avamere.com,Assisted Living Facility, 84
Emerald Care,Jeff Hoon,Administrator,509-877-3175,http://www.emeraldcare.org,Skilled Nursing Facility, 82
Wheatland Village,Tom O'Donnell,Senior Executive Director,509-527-9600,http://www.wheatlandvillage.com,Assisted Living Facility, 113
Amber Waves Assisted Living,June Skinner,Administrator,509-745-8187,,Assisted Living Facility, 15
Trustwell Living at Whitman Place,Christina Vinti,Care Services Manager,541-441-8164,https://www.trustwellliving.com/senior-living/wa/walla-walla/whitman-place/,Assisted Living Facility, 44
Park Manor Rehabilitation Center,Ben Flinders,Administrator/Regional Captain,509-529-4218,http://www.ensignservices.net,Skilled Nursing Facility, 99
Brookdale Walla Walla,Tonya Williams,Executive Director,509-525-4990,http://www.brookdale.com,Assisted Living Facility, 90
Van Vista Assisted Living,Lena Service,Executive Director,360-750-4665,http://www.vhausa.com,Assisted Living Facility, 97
Vancouver Specialty & Rehabilitative Care,Michael Moses,Executive Director,360-694-7501,http://www.vancouverspecialty.com,Skilled Nursing Facility, 104
Van Mall Retirement Community,Katie Smith,General Manager,360-896-9140,http://www.leisurecare.com,Assisted Living Facility, 75
Trustwell Living at Evergreen Place,Jonathan Su,Executive Director,360-254-7733,https://www.trustwellliving.com/senior-living/wa/vancouver/evergreen-place/,Assisted Living Facility, 44
Touchmark at Fairway Village,Kristal MacNeil,Executive Director,360-254-2866,http://www.waterfordvancouver.com,Assisted Living Facility, 140
The Oaks at Timberline,Kristina Mills,Administrator,360-696-2561,http://www.ensigngroup.net,Skilled Nursing Facility, 98
The Evergreen Inn,Kelly Higdon,Executive Director and DNS,360-696-4000,http://www.kensington-evergreen.com,Assisted Living Facility, 85
Tenny Creek Assisted Living,,,360-450-3382,https://www.tennycreekalf.com/,Assisted Living Facility, 40
Stephen’s Place,Heather  Stenberg,Executive Director,360-984-3600,http://www.stephensplace.org,Assisted Living Facility, 30
Salmon Creek Post Acute and Rehabilitation,Ward Tappero,Interim Administrator,360-574-5247,https://hillvalleyhc.com/,Skilled Nursing Facility, 120
Hudson Bay Health and Rehabilitation,Robert Pyper,Administrator,360-254-5335,,Skilled Nursing Facility, 92
Prestige Senior Living Bridgewood,Stacie Roehl,Executive Director,360-254-4666,http://www.prestigecare.com,Assisted Living Facility, 80
Prestige Assisted Living-Hazel Dell,Karen Elliott,Administrator,360-693-2402,http://www.prestigecare.com,Assisted Living Facility, 75
Highgate Senior Living – Vancouver,Autumn Mathis,Executive Director,360-571-7272,,Assisted Living Facility, 71
Fort Vancouver Assisted Living,Dakota Veach,Executive Director,360-256-2980,,Assisted Living Facility, 50
Cogir Vancouver Orchards,Debbie Woolery,Executive Director,360-896-6081,http://www.cogir.net,Assisted Living Facility, 90
Discovery Nursing & Rehab Center,Charlien Lynch,Administrator,360-693-1474,http://www.prestigecare.com,Skilled Nursing Facility, 89
Cogir of Glenwood Place,Ben Young,Executive Director,360-892-1100,http://www.cogir.net,Assisted Living Facility, 253
Cogir at the Quarry,Mattson Kistrup,Executive Director,360-944-6000,http://www.cogir.net,Assisted Living Facility, 220
Brookdale Vancouver Stonebridge,Sean Guerrero,Executive Director,360-882-8800,http://www.brookdale.com,Assisted Living Facility, 80
Clearwater Springs Assisted Living,Mary Beisley,Executive Director,360-546-3344,http://www.clearwaterspringsseniorliving.com,Assisted Living Facility, 95
Brookdale Fisher’s Landing,Casandra Vargas,Executive Director,360-885-1400,http://www.brookdale.com,Assisted Living Facility, 91
Bonaventure of Vancouver,Kristina McComb,Executive Director,360-718-3520,http://www.bonaventuresenior.com,Assisted Living Facility, 88
Bonaventure of Salmon Creek,Raymond Sabino,Executive Director,360-258-2388,http://www.bonaventuresenior.com,Assisted Living Facility, 89
Avamere Rehabilitation of Cascade Park,Danielle St. Germain,Administrator,360-260-2200,https://www.avamere.com/avamere-rehabilitation-of-cascade-park/,Skilled Nursing Facility, 88
Arbor Ridge Assisted Living,Chrissy Green,Executive Director,360-576-8883,,Assisted Living Facility, 67
Hearthside Manor,Tarah Threde,Executive Director,253-460-3330,http://www.caringplaces.com,Assisted Living Facility, 36
Arcadia Healthcare – Parkside,Scott Gasseling,Administrator,509-248-1985,,Skilled Nursing Facility, 64
Bridgeport Place,,,253-565-1960,http://www.bridgeportplaceassisted.com,Assisted Living Facility, 77
Washington Health Care Association,Bill Ulrich,Consultant,800-562-6170,http://www.whca.org,Skilled Nursing Facility,
The Hampton Alzheimer Special Care Center,Maureen Hennessy,Executive Director,360-786-6062,http://www.anthemmemorycare.com,Assisted Living Facility, 56
Holden at Southcenter,Shane Fowler,Executive Director,253-880-6674,http://www.milestoneretirement.com,Assisted Living Facility, 141
Toppenish Nursing & Rehab Center,Tijan Jallow,Administrator,509-865-3955,http://www.prestigecare.com,Skilled Nursing Facility, 75
North Valley Extended Care,Kim Black,Resident Care Manager,509-486-3110,http://www.nvhospital.org,Skilled Nursing Facility, 42
Tekoa Care Center,Madison Flake,Administrator,509-284-4501,,Assisted Living Facility, 59
The Village Senior Living,Dawn Belote,Executive Director,253-475-4707,http://www.thevillage-tacoma.com,Assisted Living Facility, 110
Trouves St. Ann’s,,,253-289-5050,,Assisted Living Facility, 15
Tacoma Nursing and Rehabilitation Center,Damen Diaz,Administrator,253-581-2514,,Skilled Nursing Facility, 150
Spring Ridge Assisted Living and Memory Care,Lanette Lara,Executive Director,253-474-1093,,Assisted Living Facility, 75
Pioneer Place Memory Haven,Bebie Rantalla,Executive Director,253-539-3410,http://www.pioneerplacememoryhaven.com,Assisted Living Facility, 60
Peoples Retirement Community,Sindy Brown,Administrator,253-474-1741,http://www. seniorhousinginvestment.net,Assisted Living Facility, 110
Park Rose Care Center,Aaron Marson,Assistant Administrator,253-752-5677,http://www.regency-pacific.com,Skilled Nursing Facility, 139
Orchard Park Health Care Center,Kimberly Harris,Administrator,253-475-4611,http://www.genesishcc.com,Skilled Nursing Facility, 147
Merrill Gardens at Wright Park,Fred Wahlgren,Executive Director,253-205-8600,http://www.merrillgardens.com,Assisted Living Facility, 50
Merrill Gardens at Tacoma,Rob Brock,General Manager,253-235-3826,http://www.merrillgardens.com,Assisted Living Facility, 65
Heartwood Extended Health Care,Mark Weerasinhe,Administrator,253-472-9027,http://www.heartwoodllc.net,Skilled Nursing Facility, 120
Cogir at the Narrows,Angela Levingston,Executive Director,253-564-4770,http://www.cogir.net,Assisted Living Facility, 155
Brookdale Allenmore,Vivienne Campbell,Executive Director,253-759-7770,http://www.brookdale.com,Assisted Living Facility, 80
Christ the King Community Outreach,Sheri Mace,Assistant Administrator,253-538-7222,http://www.kingsmanorslc.com,Assisted Living Facility, 76
Birch Creek Post Acute and Rehabilitation,Sharon Holmes,Administrator,253-474-8421,http://www.hillvalleyhc.com,Skilled Nursing Facility, 124
Avamere Transitional Care of Puget Sound,,,253-671-7300,http://www.avameretransitionalcareofpugetsound.com,Skilled Nursing Facility, 60
Avamere Heritage Rehabilitation of Tacoma,Shylah Hallam-Noel,Assistant Administrator,253-474-8456,http://www.avamere.com,Skilled Nursing Facility, 81
Avamere at Pacific Ridge,Christine Miller,Administrator,253-475-2507,http://www.avamereatpacificridge.com,Skilled Nursing Facility, 102
Arcadia Healthcare – University Place,Mindy Bradley,Administrator,253-566-7166,,Skilled Nursing Facility, 120
Alaska Gardens Health and Rehab,Annie Wingard,Administrator,253-476-5300,,Skilled Nursing Facility, 123
Sunnyside Assisted Living,Melissa Milanez,Executive Director,509-839-0579,,Assisted Living Facility, 96
"Just Like Home Resident Care, Inc.",Isaac Sedera,Executive Director,509-839-4663,http://www.justlikehomeresidentcare.com,Assisted Living Facility, 13
Prestige Care & Rehabilitation-Sunnyside,James Duncan,Administrator,509-837-2122,http://www.prestigecare.com,Skilled Nursing Facility, 80
Stafford Suites at Sumner,Tina Pries,Executive Director,253-862-1818,http://www.staffordcare.com,Assisted Living Facility, 77
Memory Haven Sumner,Donna Wing,Executive Director,253-750-0552,,Assisted Living Facility, 39
Rock Cove Assisted Living,Elaine Jeffries,Administrator,509-427-7272,http://www.rockcove.org,Assisted Living Facility, 36
Brookdale Stanwood,Marian Sanchez,Executive DIrector,360-629-3445,http://www.brookdale.com,Assisted Living Facility, 80
Community Pride Senior Living,Isaac Sadera,Administrator,509-648-4214,,Assisted Living Facility, 21
Trustwell Living at Ridgeview Place,Justin Whitehead,Executive Director,509-972-7176,https://www.trustwellliving.com/senior-living/wa/spokane-valley/ridgeview-place/,Assisted Living Facility, 67
Sullivan Park Assisted Living Comm.,Chelsey Steely,Executive Director,509-924-5555,http://www.prestigecare.com,Assisted Living Facility, 53
Sunshine Health and Rehabilitation,Jon Dresback,Administrator,509-926-3547,http://www.shfi.com,Skilled Nursing Facility, 37
Spokane Valley Health and Rehabilitation of Cascadia,Tyson  Taylor,CEO/Administrator,509-924-6161,,Skilled Nursing Facility, 97
Pine Ridge Alzheimers Special Care Center,Becky Bearden,Executive Director,509-924-4388,http://www.jeaseniorliving.com,Assisted Living Facility, 66
Sapphire at Brighton Court,Doug Edington,Executive Director,509-926-4533,,Assisted Living Facility, 55
Orchard Crest Retirement,Kathleen Swan,AL Director,509-928-2222,http://www.orchardcrestretirement.com,Assisted Living Facility, 130
Olympus Living of Spokane Valley,Brenda Twete,Assisted Living Manager,509-342-7269,https://olympuslivingsv.com/,Assisted Living Facility, 14
Evergreen Fountains,Prokey Arger,Executive Director/Owner,509-922-3100,http://www.evergreenfountains.com,Assisted Living Facility, 124
Colonial Court,Denise Henley,Health Services Director,509-921-5473,http://colonialcourtassistedliving.com,Assisted Living Facility, 51
Brookdale Park Place,Bethany Webb,Executive Director,509-922-7224,http://www.brookdale.com,Assisted Living Facility, 110
Willow Grove Home,Ryan Knudson,Administrator,509-467-1135,,Assisted Living Facility, 25
Touchmark On South Hill,Michaela Thompson,Executive Director,509-536-2929,http://www.touchmarkspokane.com,Assisted Living Facility, 105
Touchmark on South Hill Health & Rehab Center,Danni Orne,SNF Administrator,509-536-2929,http://www.touchmarkspokane.com,Skilled Nursing Facility, 57
The Gardens on University,Jacqueline Palozzolo,Administrator,509-924-4650,http://calderacare.com,Skilled Nursing Facility, 124
Sunshine Terrace,Ron Simpson,Administrator,509-892-4342,,Assisted Living Facility, 137
Sullivan Park Care Center,Bobbie Gunkel,Administrator,509-922-1644,http://www.prestigecare.com,Skilled Nursing Facility, 125
Spokane Health and Rehabilitation Center,Lisa Parker,Administrator,509-326-8282,,Skilled Nursing Facility, 125
South Hill Village EARC,Paula Robertson,Executive Director,509-443-8500,http://www.pegasusseniorliving.com,Assisted Living Facility, 40
South Hill Village,Paula Robertson,Executive Director,509-443-8500,http://www.PegasusSeniorLiving.com,Assisted Living Facility, 170
Sapphire at Moran Vista,April Oviatt,Executive Director,509-443-1944,http://www.moranvistaseniorliving.com,Assisted Living Facility, 101
Royal Park Health and Rehabilitation,Rita Newman,Executive Director,509-489-2273,http://www.royalparkhealthandrehab.com,Skilled Nursing Facility, 164
Royal Park Retirement Center,Amy Stafford,Executive Director,509-483-7136,http://www.royalparkretirement.com,Assisted Living Facility, 95
Rose Pointe Assisted Living,Trudie Chamberlain,Executive Director,509-926-6483,,Assisted Living Facility, 110
Riverview Terrace,,,509-483-6483,http://www.riverviewretirement.org,Assisted Living Facility, 110
Riverview Retirement Community (Memory Care),Tara Samuel,Administrator - Memory Care Manager,509-482-9586,,Assisted Living Facility, 40
Regency at Northpointe,Jesse Shelton,Administrator,509-465-8800,http://www.regencynorthpointe.com,Skilled Nursing Facility, 120
North Point Village,Chelsea Searle,Assistant Executive Director,509-465-8440,http://www.PegasusSeniorLiving.com,Assisted Living Facility, 126
North Central Care and Rehabilitation,Dell Workman,Administrator,509-328-6030,http://northcentralcarecenterinc.com,Skilled Nursing Facility, 99
Magnolia Care Enhanced Living,Rhonda Bowens,Executive Director,509-482-6290,,Assisted Living Facility, 53
Grande Manor Care,Israel Rodriguez,Administrator,509-747-7233,,Assisted Living Facility, 12
Franklin Hills Health & Rehab Center,Mark Scroggin,Administrator,509-489-3323,http://calderacare.com,Skilled Nursing Facility, 100
Fairwinds Spokane,Jamie Bravato,Executive Director,509-468-1000,http://www.leisurecare.com,Assisted Living Facility, 90
Ciel Senior Living of Spokane,Taylor Adams,Executive Director,509-904-1245,,Assisted Living Facility, 60
Cherrywood Place Retirement,Alejandra Perdomo-Tapia,Executive Director,509-484-3553,,Assisted Living Facility, 52
Brookdale Nine Mile,,,509-323-1400,http://www.brookdale.com,Assisted Living Facility, 60
Avamere at South Hill,Tina Sykes,Executive Director,509-443-0401,http://www.brookdale.com,Assisted Living Facility, 95
Avalon Care Center at Northpointe,Tom De Oro,Administrator,509-468-7000,http://www.avalonhci.com,Skilled Nursing Facility, 119
Aspen Quality Care,Erica Anchondo,Executive Director/DNS,509-464-9486,http://www.aspenqualitycare.com,Assisted Living Facility, 21
Alderwood Manor,Ken Alexander,Administrator,509-535-2071,http://www.lcca.com,Skilled Nursing Facility, 85
Snohomish Health and Rehabilitation of Cascadia,Rob Jewett,Administrator,360-568-3161,http://www.cascadiahc.com,Skilled Nursing Facility, 91
The Ridge,,,360-697-4488,http://www.encoreridge.com,Assisted Living Facility, 54
Northwoods Lodge,Adam Filbey,Executive Director,360-698-3930,http://www.encorecommunities.com,Skilled Nursing Facility, 57
Fieldstone on Clear Creek,Stephanie Perry,Executive Director,360-979-2256,,Assisted Living Facility, 169
Fieldstone of Silverdale Memory Care,,,360-340-9371,,Assisted Living Facility, 58
Courtyard at Crista Shores,Russ  Reuther,Community Manager,360-698-0900,http://www.cristashores.com,Assisted Living Facility, 60
Clearbrook Inn Living Center,Megan Nichols,Executive Director,360-692-1228,http://www.encorecommunities.com,Assisted Living Facility, 53
Laurel Cove Community,,,206-364-9336,http://www.laurelcovecommunity.com,Assisted Living Facility, 98
Courtyard at Cristwood,Nancy Mitchell,Executive Director,206-546-7575,http://www.cristaseniors.org,Assisted Living Facility, 90
Avamere Rehabilitation of Shoreline,Scott Carlston,Administrator,206-363-5856,https://avamereshoreline.com/,Skilled Nursing Facility, 115
Aegis of Shoreline,John Gonzales,General Manager,206-279-3448,http://www.aegisliving.com,Assisted Living Facility, 130
Aegis at Callahan House,Al Otieno,General Manager,206-417-9747,http://www.aegisliving.com,Assisted Living Facility, 59
Shelton Health and Rehabilitation Center,Coleen Dixon,Administrator,360-427-2575,,Skilled Nursing Facility, 76
Maple Glen Assisted Living Community,Monica Decicio,Administrator/Resident Services Director,360-427-0300,,Assisted Living Facility, 73
Fir Lane Health & Rehab Center,Donna Robinson,Administrator,360-426-1651,http://calderacare.com,Skilled Nursing Facility, 135
Alpine Way Retirement Apartments,Trudy Hunter,Executive Director,360-426-2600,http://www.cascadeliving.com,Assisted Living Facility, 103
Trustwell Living at Sinclair Place,Sabra Stafford,Resident Care Coordinator,360-681-3385,https://www.trustwellliving.com/senior-living/wa/sequim/sinclair-place/,Assisted Living Facility, 68
Sherwood Assisted Living,Andrea Magill,Administrator/DNS,360-683-3348,http://www.SherwoodAssistedLiving.com,Assisted Living Facility, 107
Sequim Health and Rehabilitation Center,James Aldred,Administrator,360-582-2400,http://www.calderacare.com,Skilled Nursing Facility, 100
Dungeness Courte Alzheimer’s Community,Linda Potter,Executive Director,360-582-9309,http://www.dungenesscourte.com,Assisted Living Facility, 40
Discovery Memory Care,Julia Turner,Executive Director,360-912-8399,http://www.discoverymc.com,Assisted Living Facility, 58
Avamere Olympic Rehabilitation of Sequim,Duane Smith,Administrator,360-582-3900,http://www.avamere.com,Skilled Nursing Facility, 90
Riverview Manor,Robert Kaercher,Administrator,509-697-3333,http://www.riverviewmanorselah.com,Assisted Living Facility, 60
Life Care Center of Skagit Valley,Heather Savela,Administrator,360-856-6867,http://www.lcca.com,Skilled Nursing Facility, 150
Country Meadow Village,Sandra Jensen,Administrator,360-856-0404,http://www.villageconcepts.com,Assisted Living Facility, 50
Washington Center for Comprehensive Rehab,Yasser Alsallom,Regional Administrator,206-725-2800,http://www.wacenter.org,Skilled Nursing Facility, 165
Birchview Memory Care Community,Shannon Padilla,Executive Director,360-856-1911,http://www.birchviewmc.com,Assisted Living Facility, 61
Village Green Senior Living West Seattle,Eva Thomas,Executive Director,206-937-6122,http://www.daystarseattle.com,Assisted Living Facility, 60
University House at Wallingford,Leta Medina,Interim Executive Director,206-545-8400,http://www.eraliving.com,Assisted Living Facility, 25
